sample,name,low(g),high(g),far(g),init,online classification,online chi(cm3/mol),height(cm),mass(g),type,molar mass
1, copper, 180.764, 180.782, 180.772,,dia,-5.46e-6,3.20,28.163,solid,63.5460
2, aluminum, 180.779, 180.762, 180.772,,para,16.5e-6,3.00,10.619,solid,26.98153860
3, titanium, 180.874, 180.656, 180.772,,para,153e-6,3.00,15.890,solid,47.8670
4, bismuth, 180.701, 180.842, 180.772,,dia,-280e-6,3.30,21.187,non-solid,208.980400
5, colbalt wire, 180.941, 180.579, 180.771,,ferro,,3.20,3.206,solid,58.9331950
6, pyrolytic graphite, 180.705, 180.841, 180.771, 180.772,,,3.20,4.090,solid,12.011
7, neodymium choride hexahydrate, 180.939, 180.585, 180.772, 180.772,para,,3.10,7.514,non-solid,358.6927
8, gadolinium oxide, 180.155, 180.403, 180.768, 180.774,,53200e-6,3.40,9.378,non-solid,362.4982
9, erbium oxide, 180.480, 180.465, 180.767, 180.773,,73920e-6,3.35, 12.247,non-solid,382.5162
10, mohrs salt, 180.035, 180.426, 180.774, 180.773,,,3.20,6.427,non-solid,392.13
11, irom alum, 180.020, 180.495, 180.773, 180.772,para,,3.20,5.053,non-solid, 	482.25
12, blue vitriol, 180.839, 180.693, 180.772, 180.770,,1330e-6,3.50,7.176,non-solid,249.685 
13, copper acetate, 180.804, 180.734, 180.771, 180.771,,,3.30,6.419,non-solid,199.65
14, manganese oxide, 180.472, 180.566, 180.770, 180.772,,-4850e-6,2.90,8.110,non-solid,70.93744
15, manganese choride tetrahydrate, 180.512, 180.913, 180.772, 180.775,,-14350e-6,3.50,6.738,non-solid,925.9688
16, nickel-zinc ferrite, 180.622, 180.792, 180.772, 180.776,para,,3.40,8.426,non-solid,234.3810
17, empty vial, 180.771, 180.780, 180.776, 180.775,,,3.85,2.942,solid,
1 (redo), copper, 180.764, 180.784, 180.775, 180.774,dia,-5.46e-6,3.20,28.163,solid,63.5460
2 (redo), aluminum, 180.781, 180.764, 180.774, 180.774,para,16.5e-6,3.00,10.619,solid,26.98153860
3 (redo), titanium, 180.877, 180.655, 180.774, 180.775,para,153e-6,3.00,15.890,solid,47.8670
4 (redo), bismuth, 180.705, 180.844, 180.775, 180.774,dia,-280e-6,3.30,21.187,non-solid,208.980400
5 (redo), colbalt wire, 180.943, 180.586, 180.766, 180.766,ferro,,3.20,3.206,solid,58.9331950
1*, iodized salt, 180.746, 180.769, 180.759, 180.759,,,3.5,7.749,non-solid,58.4428
2*, himalanan salt, 180.748, 180.768, 180.758, 180.758,,,3.7,7.713,non-solid,58.4428
16 (redo), nickel-zinc ferrite, 181.692, 179.777, 180.762,180.772,para,,3.40,8.426,non-solid,234.3810
5 (second day), colbalt wire, 180.757, 180.580, 180.939,180.762,ferro,,3.20,3.206,solid,58.9331950
2 (second day), aluminum, 180.762, 180.753, 180.771, 180.763,para,16.5e-6,3.00,10.619,solid,26.98153860
1 (second day), copper, 180.760, 180.770, 180.749, 180.760,dia,-5.46e-6,3.20,28.163,solid,63.5460
18, Rust on paper,180.763,180.763,180.759,180.760,,,,,non-solid,